Unnamed: 0,ID,GENDER,CAR,REALITY,NO_OF_CHILD,FAMILY_TYPE,HOUSE_TYPE,FLAG_MOBIL,WORK_PHONE,PHONE,E_MAIL,FAMILY SIZE,BEGIN_MONTH,AGE,YEARS_EMPLOYED,TARGET,INCOME,INCOME_TYPE,User,EDUCATION_TYPE
40,5008860,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,3,43,9.0,0,135000.0,Working,5008860,Secondary / secondary special
41,5008861,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,3,43,9.0,0,135000.0,Working,5008861,Secondary / secondary special
42,5008862,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,2,43,9.0,0,135000.0,Working,5008862,Secondary / secondary special
43,5008863,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,2,43,9.0,0,135000.0,Working,5008863,Secondary / secondary special
44,5008864,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,2,43,,0,135000.0,Working,5008864,Secondary / secondary special
45,5008865,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,8,43,9.0,0,135000.0,Working,5008865,Secondary / secondary special
46,5008866,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,19,43,9.0,0,135000.0,Working,5008866,Secondary / secondary special
47,5008867,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,25,43,9.0,0,135000.0,Working,5008867,Secondary / secondary special
48,5112846,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,18,43,9.0,0,135000.0,Working,5112846,Secondary / secondary special
49,5008868,F,N,Y,1,Civil marriage,House / apartment,1,0,0,0,3.0,24,44,19.0,0,211500.0,State servant,5008868,Secondary / secondary special
50,5008870,F,N,Y,1,Civil marriage,House / apartment,1,0,0,0,3.0,20,44,19.0,0,211500.0,State servant,5008870,Secondary / secondary special
51,5008872,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,10,46,15.0,0,360000.0,Commercial associate,5008872,Secondary / secondary special
52,5008873,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,21,34,5.0,0,126000.0,Commercial associate,5008873,Higher education
53,5008874,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,45,34,5.0,0,126000.0,Commercial associate,5008874,Higher education
54,5008875,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,39,34,5.0,0,126000.0,Commercial associate,5008875,Higher education
55,5008876,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,43,34,5.0,0,126000.0,Commercial associate,5008876,Higher education
56,5008877,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,7,34,5.0,0,126000.0,Commercial associate,5008877,Higher education
57,5008878,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,43,34,5.0,0,126000.0,Commercial associate,5008878,Higher education
58,5008879,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,21,34,5.0,0,126000.0,Commercial associate,5008879,Higher education
59,5008880,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,10,34,5.0,0,126000.0,Commercial associate,5008880,Higher education
60,5008881,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,19,34,5.0,0,126000.0,Commercial associate,5008881,Higher education
61,5008882,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,45,34,5.0,0,126000.0,Commercial associate,5008882,Higher education
62,5008888,F,N,Y,0,Separated,Rented apartment,1,0,0,0,1.0,11,47,4.0,0,247500.0,Commercial associate,5008888,Higher education
63,5008889,F,N,Y,0,Separated,Rented apartment,1,0,0,0,1.0,4,47,4.0,0,247500.0,Commercial associate,5008889,Higher education
64,5008890,F,N,Y,0,Separated,Rented apartment,1,0,0,0,1.0,48,47,4.0,0,247500.0,Commercial associate,5008890,Higher education
65,5112847,F,N,Y,0,Separated,Rented apartment,1,0,0,0,1.0,25,47,4.0,0,247500.0,Commercial associate,5112847,Higher education
66,5008891,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,7,43,9.0,0,297000.0,Commercial associate,5008891,Secondary / secondary special
67,5008892,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,37,43,9.0,0,297000.0,Commercial associate,5008892,Secondary / secondary special
68,5008893,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,36,43,9.0,0,297000.0,Commercial associate,5008893,Secondary / secondary special
69,5008894,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,36,43,9.0,0,297000.0,Commercial associate,5008894,Secondary / secondary special
70,5008895,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,34,43,9.0,0,297000.0,Commercial associate,5008895,Secondary / secondary special
71,5008896,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,34,43,9.0,0,297000.0,Commercial associate,5008896,Secondary / secondary special
72,5008897,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,32,43,9.0,0,297000.0,Commercial associate,5008897,Secondary / secondary special
73,5008898,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,31,43,9.0,0,297000.0,Commercial associate,5008898,Secondary / secondary special
74,5008899,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,30,43,9.0,0,297000.0,Commercial associate,5008899,Secondary / secondary special
75,5008900,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,29,43,9.0,0,297000.0,Commercial associate,5008900,Secondary / secondary special
76,5008901,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,27,43,9.0,0,297000.0,Commercial associate,5008901,Secondary / secondary special
77,5008902,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,27,43,9.0,0,297000.0,Commercial associate,5008902,Secondary / secondary special
78,5008903,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,27,43,9.0,0,297000.0,Commercial associate,5008903,Secondary / secondary special
79,5008904,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,26,43,9.0,0,297000.0,Commercial associate,5008904,Secondary / secondary special
80,5008905,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,25,43,9.0,0,297000.0,Commercial associate,5008905,Secondary / secondary special
81,5008906,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,24,43,9.0,0,297000.0,Commercial associate,5008906,Secondary / secondary special
82,5008907,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,23,43,9.0,0,297000.0,Commercial associate,5008907,Secondary / secondary special
83,5008908,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,22,43,9.0,0,297000.0,Commercial associate,5008908,Secondary / secondary special
84,5008909,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,22,43,9.0,0,297000.0,Commercial associate,5008909,Secondary / secondary special
85,5008910,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,21,43,9.0,0,297000.0,Commercial associate,5008910,Secondary / secondary special
86,5008911,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,21,43,9.0,0,297000.0,Commercial associate,5008911,Secondary / secondary special
87,5008912,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,20,43,9.0,0,297000.0,Commercial associate,5008912,Secondary / secondary special
88,5008913,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,19,43,9.0,0,297000.0,Commercial associate,5008913,Secondary / secondary special
89,5008914,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,18,43,9.0,0,297000.0,Commercial associate,5008914,Secondary / secondary special
90,5008915,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,18,43,9.0,0,297000.0,Commercial associate,5008915,Secondary / secondary special
91,5008916,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,17,43,9.0,0,297000.0,Commercial associate,5008916,Secondary / secondary special
92,5008917,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,17,43,9.0,0,297000.0,Commercial associate,5008917,Secondary / secondary special
93,5008918,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,16,43,9.0,0,297000.0,Commercial associate,5008918,Secondary / secondary special
94,5008919,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,15,43,9.0,0,297000.0,Commercial associate,5008919,Secondary / secondary special
95,5008920,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,15,43,9.0,0,297000.0,Commercial associate,5008920,Secondary / secondary special
96,5008921,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,13,43,9.0,0,297000.0,Commercial associate,5008921,Secondary / secondary special
97,5008922,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,13,43,9.0,0,297000.0,Commercial associate,5008922,Secondary / secondary special
98,5008923,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,12,43,9.0,0,297000.0,Commercial associate,5008923,Secondary / secondary special
99,5008924,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,12,43,9.0,0,297000.0,Commercial associate,5008924,Secondary / secondary special
100,5008925,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,12,43,9.0,0,297000.0,Commercial associate,5008925,Secondary / secondary special
101,5008926,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,11,43,9.0,0,297000.0,Commercial associate,5008926,Secondary / secondary special
102,5008927,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,9,43,9.0,0,297000.0,Commercial associate,5008927,Secondary / secondary special
103,5008928,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,9,43,9.0,0,297000.0,Commercial associate,5008928,Secondary / secondary special
104,5008929,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,7,43,9.0,0,297000.0,Commercial associate,5008929,Secondary / secondary special
105,5008930,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,6,43,9.0,0,297000.0,Commercial associate,5008930,Secondary / secondary special
106,5008931,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,5,43,9.0,0,297000.0,Commercial associate,5008931,Secondary / secondary special
107,5008932,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,5,43,9.0,0,297000.0,Commercial associate,5008932,Secondary / secondary special
108,5008933,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,5,43,9.0,0,297000.0,Commercial associate,5008933,Secondary / secondary special
109,5008934,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,4,43,9.0,0,297000.0,Commercial associate,5008934,Secondary / secondary special
110,5008935,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,4,43,9.0,0,297000.0,Commercial associate,5008935,Secondary / secondary special
111,5008936,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,3,43,9.0,0,297000.0,Commercial associate,5008936,Secondary / secondary special
112,5008937,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,1,43,9.0,0,297000.0,Commercial associate,5008937,Secondary / secondary special
113,5008938,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,1,43,9.0,0,297000.0,Commercial associate,5008938,Secondary / secondary special
114,5008939,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,0,43,9.0,0,297000.0,Commercial associate,5008939,Secondary / secondary special
115,5008940,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,1,43,9.0,0,297000.0,Commercial associate,5008940,Secondary / secondary special
116,5008941,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,7,43,9.0,0,297000.0,Commercial associate,5008941,Secondary / secondary special
117,5008942,F,N,N,0,Married,House / apartment,1,0,1,0,2.0,43,37,13.0,0,157500.0,Commercial associate,5008942,Higher education
118,5008943,F,N,N,0,Married,House / apartment,1,0,1,0,2.0,14,37,13.0,0,157500.0,Commercial associate,5008943,Higher education
119,5008944,F,N,N,0,Married,House / apartment,1,0,1,0,2.0,23,37,13.0,0,157500.0,Commercial associate,5008944,Higher education
120,5008945,F,N,N,0,Married,House / apartment,1,0,1,0,2.0,30,37,13.0,0,157500.0,Commercial associate,5008945,Higher education
121,5008946,F,N,N,0,Married,House / apartment,1,0,1,0,2.0,48,37,13.0,0,157500.0,Commercial associate,5008946,Higher education
122,5008947,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,12,42,4.0,0,135000.0,Working,5008947,Secondary / secondary special
123,5008948,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,17,42,4.0,0,135000.0,Working,5008948,Secondary / secondary special
124,5008949,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,0,42,4.0,0,135000.0,Working,5008949,Secondary / secondary special
125,5008950,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,12,42,4.0,0,135000.0,Working,5008950,Secondary / secondary special
126,5008955,F,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,4,49,5.0,0,135000.0,Working,5008955,Secondary / secondary special
127,5008956,F,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,39,49,5.0,0,135000.0,Working,5008956,Secondary / secondary special
128,5008957,F,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,51,49,5.0,0,135000.0,Working,5008957,Secondary / secondary special
129,5008958,F,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,3,49,5.0,0,135000.0,Working,5008958,Secondary / secondary special
130,5008959,F,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,15,49,5.0,0,135000.0,Working,5008959,Secondary / secondary special
131,5008960,F,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,28,49,5.0,0,135000.0,Working,5008960,Secondary / secondary special
132,5008962,F,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,26,49,5.0,0,135000.0,Working,5008962,Secondary / secondary special
133,5008963,F,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,38,49,5.0,0,135000.0,Working,5008963,Secondary / secondary special
134,5008981,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,10,57,7.0,0,112500.0,State servant,5008981,Secondary / secondary special
135,5008983,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,58,57,7.0,0,112500.0,State servant,5008983,Secondary / secondary special
136,5008984,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,58,57,7.0,0,112500.0,State servant,5008984,Secondary / secondary special
137,5008986,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,10,57,7.0,0,112500.0,State servant,5008986,Secondary / secondary special
138,5008987,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,10,57,7.0,0,112500.0,State servant,5008987,Secondary / secondary special
139,5008988,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,16,57,7.0,0,112500.0,State servant,5008988,Secondary / secondary special
140,5008991,F,Y,Y,0,Separated,House / apartment,1,1,1,0,1.0,30,45,3.0,0,270000.0,Working,5008991,Secondary / secondary special
141,5008992,F,Y,Y,0,Separated,House / apartment,1,1,1,0,1.0,6,45,3.0,0,270000.0,Working,5008992,Secondary / secondary special
142,5008993,F,Y,Y,0,Separated,House / apartment,1,1,1,0,1.0,17,45,3.0,0,270000.0,Working,5008993,Secondary / secondary special
143,5008994,F,Y,Y,0,Separated,House / apartment,1,1,1,0,1.0,19,45,3.0,0,270000.0,Working,5008994,Secondary / secondary special
144,5008995,F,Y,Y,0,Separated,House / apartment,1,1,1,0,1.0,28,45,3.0,0,270000.0,Working,5008995,Secondary / secondary special
145,5112861,F,Y,Y,0,Separated,House / apartment,1,1,1,0,1.0,21,45,3.0,0,270000.0,Working,5112861,Secondary / secondary special
146,5008998,F,Y,Y,0,Married,House / apartment,1,0,0,1,2.0,4,29,2.0,0,270000.0,Working,5008998,Higher education
147,5008999,F,Y,Y,0,Married,House / apartment,1,0,0,1,2.0,24,29,2.0,0,270000.0,Working,5008999,Higher education
148,5009000,M,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,22,27,2.0,0,157500.0,Working,5009000,Secondary / secondary special
149,5009001,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,40,52,17.0,0,166500.0,Working,5009001,Secondary / secondary special
150,5009002,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,44,52,17.0,0,166500.0,Working,5009002,Secondary / secondary special
151,5009005,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,35,52,17.0,0,166500.0,Working,5009005,Secondary / secondary special
152,5009006,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,45,52,17.0,0,166500.0,Working,5009006,Secondary / secondary special
153,5009007,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,59,52,17.0,0,166500.0,Working,5009007,Secondary / secondary special
154,5009008,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,9,52,17.0,0,166500.0,Working,5009008,Secondary / secondary special
155,5009009,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,32,52,17.0,0,166500.0,Working,5009009,Secondary / secondary special
156,5009010,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,12,52,17.0,0,166500.0,Working,5009010,Secondary / secondary special
157,5009012,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,5,52,17.0,0,166500.0,Working,5009012,Secondary / secondary special
158,5009014,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,35,52,17.0,0,166500.0,Working,5009014,Secondary / secondary special
159,5009027,F,Y,Y,0,Married,House / apartment,1,0,0,1,2.0,21,54,30.0,0,270000.0,Commercial associate,5009027,Secondary / secondary special
160,5112862,F,Y,Y,0,Married,House / apartment,1,0,0,1,2.0,40,54,30.0,0,270000.0,Commercial associate,5112862,Secondary / secondary special
161,5009028,F,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,17,40,8.0,0,225000.0,Commercial associate,5009028,Secondary / secondary special
162,5009029,F,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,15,40,8.0,0,225000.0,Commercial associate,5009029,Secondary / secondary special
163,5009031,F,N,Y,0,Single / not married,House / apartment,1,0,0,0,1.0,13,29,3.0,0,315000.0,Working,5009031,Secondary / secondary special
164,5009032,F,N,Y,0,Single / not married,House / apartment,1,0,0,0,1.0,13,29,3.0,0,315000.0,Working,5009032,Secondary / secondary special
165,5009039,F,N,Y,2,Single / not married,House / apartment,1,0,0,0,3.0,8,39,2.0,0,157500.0,Working,5009039,Secondary / secondary special
166,5009040,F,N,Y,2,Single / not married,House / apartment,1,0,0,0,3.0,3,39,2.0,0,157500.0,,5009040,Secondary / secondary special
167,5009042,F,N,Y,0,Married,House / apartment,1,0,0,0,2.0,20,48,2.0,0,148500.0,Working,5009042,Higher education
168,5009043,F,N,Y,0,Married,House / apartment,1,0,0,0,2.0,20,48,2.0,0,148500.0,Working,5009043,Higher education
169,5009044,F,N,Y,0,Married,House / apartment,1,0,0,0,2.0,18,48,2.0,0,148500.0,Working,5009044,Higher education
170,5009045,F,N,Y,0,Married,House / apartment,1,0,0,0,2.0,17,48,2.0,0,148500.0,Working,5009045,Higher education
171,5009046,F,N,Y,0,Married,House / apartment,1,0,0,0,2.0,7,48,2.0,0,148500.0,Working,5009046,Higher education
172,5009047,F,N,Y,0,Married,House / apartment,1,0,0,0,2.0,11,48,2.0,0,148500.0,Working,5009047,Higher education
173,5009050,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,34,30,6.0,0,202500.0,Working,5009050,Higher education
174,5009051,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,56,30,6.0,0,202500.0,Working,5009051,Higher education
175,5009052,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,47,30,6.0,0,202500.0,Working,5009052,Higher education
176,5009053,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,51,30,6.0,0,202500.0,Working,5009053,Higher education
177,5009055,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,55,30,6.0,0,202500.0,Working,5009055,Higher education
178,5009056,M,N,Y,0,Single / not married,House / apartment,1,1,0,0,1.0,24,24,2.0,0,202500.0,Working,5009056,Secondary / secondary special
179,5009057,M,N,Y,0,Single / not married,House / apartment,1,1,0,0,1.0,9,24,2.0,0,202500.0,Working,5009057,Secondary / secondary special
180,5009058,F,Y,Y,0,Single / not married,House / apartment,1,0,1,1,1.0,0,21,2.0,0,112500.0,Commercial associate,5009058,Secondary / secondary special
181,5009062,M,Y,Y,0,Civil marriage,House / apartment,1,0,0,0,2.0,45,29,6.0,0,315000.0,Working,5009062,Secondary / secondary special
182,5009063,M,Y,Y,0,Civil marriage,House / apartment,1,0,0,0,2.0,27,29,6.0,0,315000.0,Working,5009063,Secondary / secondary special
183,5009064,M,Y,Y,0,Civil marriage,House / apartment,1,0,0,0,2.0,4,29,6.0,0,315000.0,Working,5009064,Secondary / secondary special
184,5009065,M,Y,Y,0,Civil marriage,House / apartment,1,0,0,0,2.0,10,29,6.0,0,315000.0,Working,5009065,Secondary / secondary special
185,5009066,M,Y,Y,0,Civil marriage,House / apartment,1,0,0,0,2.0,15,29,6.0,0,315000.0,Working,5009066,Secondary / secondary special
186,5009067,M,Y,Y,0,Civil marriage,House / apartment,1,0,0,0,2.0,36,29,6.0,0,315000.0,Working,5009067,Secondary / secondary special
187,5009068,M,Y,Y,0,Civil marriage,House / apartment,1,0,0,0,2.0,22,29,6.0,0,315000.0,Working,5009068,Secondary / secondary special
188,5009069,M,Y,Y,0,Civil marriage,House / apartment,1,0,0,0,2.0,35,29,6.0,0,315000.0,Working,5009069,Secondary / secondary special
189,5009070,M,Y,Y,0,Civil marriage,House / apartment,1,0,0,0,2.0,39,29,6.0,0,315000.0,Working,5009070,Secondary / secondary special
190,5009071,F,Y,Y,0,Civil marriage,Municipal apartment,1,0,1,1,2.0,20,28,9.0,0,270000.0,Commercial associate,5009071,Incomplete higher
191,5009072,F,Y,Y,0,Civil marriage,Municipal apartment,1,0,1,1,2.0,43,28,9.0,0,270000.0,Commercial associate,5009072,Incomplete higher
